epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,83.9068,0.95765,1.06194,1.14754,0.75468,0.77545,0.94616,0.61319,1.18559,1.0982,1.38715,0.0002278,0.0002278,0.0002278
80,84.8476,0.86511,1.32348,1.23233,0.72525,0.77778,0.92021,0.58589,1.18799,1.10732,1.37761,0.0002179,0.0002179,0.0002179
81,85.7655,0.8489,0.95898,1.14437,0.72525,0.77778,0.92021,0.58589,1.18799,1.10732,1.37761,0.000208,0.000208,0.000208
82,86.693,0.90471,1.12107,1.20042,0.68323,0.94444,0.90386,0.58764,1.13428,1.05627,1.3484,0.0001981,0.0001981,0.0001981
83,87.5995,0.98744,1.27669,1.26018,0.68323,0.94444,0.90386,0.58764,1.13428,1.05627,1.3484,0.0001882,0.0001882,0.0001882
84,88.5129,0.81877,1.1459,1.10658,0.69951,0.93297,0.91575,0.61201,1.07226,1.02344,1.29308,0.0001783,0.0001783,0.0001783
85,89.4151,0.74624,0.89597,1.04673,0.69951,0.93297,0.91575,0.61201,1.07226,1.02344,1.29308,0.0001684,0.0001684,0.0001684
86,90.3468,0.89789,1.21189,1.19327,0.80605,0.88155,0.93917,0.62333,1.06387,1.0156,1.26442,0.0001585,0.0001585,0.0001585
87,91.2727,0.92515,1.28708,1.23497,0.80605,0.88155,0.93917,0.62333,1.06387,1.0156,1.26442,0.0001486,0.0001486,0.0001486
88,92.2153,0.84527,1.20179,1.23489,0.80463,0.91911,0.95016,0.60579,1.07592,0.97874,1.26726,0.0001387,0.0001387,0.0001387
89,93.1077,0.98767,1.05581,1.14052,0.80463,0.91911,0.95016,0.60579,1.07592,0.97874,1.26726,0.0001288,0.0001288,0.0001288
90,94.0585,0.73458,1.01478,1.08011,0.78259,0.93302,0.95582,0.58215,1.06674,0.94178,1.25918,0.0001189,0.0001189,0.0001189
91,213.486,0.84435,1.27393,1.29233,0.78259,0.93302,0.95582,0.58215,1.06674,0.94178,1.25918,0.000109,0.000109,0.000109
92,214.474,0.77963,1.06295,1.13433,0.80564,0.93424,0.97929,0.60145,1.05753,0.91338,1.25349,9.91e-05,9.91e-05,9.91e-05
93,215.47,0.80111,1.14754,1.1248,0.80564,0.93424,0.97929,0.60145,1.05753,0.91338,1.25349,8.92e-05,8.92e-05,8.92e-05
94,216.419,0.3623,30.3736,0.53678,0.82409,0.9425,0.98333,0.62047,1.0384,0.88178,1.2398,7.93e-05,7.93e-05,7.93e-05
95,217.325,0.80752,1.38128,1.16265,0.82409,0.9425,0.98333,0.62047,1.0384,0.88178,1.2398,6.94e-05,6.94e-05,6.94e-05
96,218.305,0.68447,1.30111,1.06424,0.8269,0.94569,0.98333,0.62156,1.04762,0.86281,1.25097,5.95e-05,5.95e-05,5.95e-05
97,219.232,0.77373,1.57048,1.20145,0.8269,0.94569,0.98333,0.62156,1.04762,0.86281,1.25097,4.96e-05,4.96e-05,4.96e-05
98,220.186,0.85191,1.43957,1.30517,0.81936,0.95264,0.98333,0.62813,1.04544,0.86176,1.24877,3.97e-05,3.97e-05,3.97e-05
99,221.102,0.72327,1.28535,1.05882,0.81936,0.95264,0.98333,0.62813,1.04544,0.86176,1.24877,2.98e-05,2.98e-05,2.98e-05
100,222.061,0.66859,0.99567,1.01525,0.82618,0.95504,0.99119,0.63033,1.04369,0.84585,1.25436,1.99e-05,1.99e-05,1.99e-05
